Name,description,_geometry
N2 New England,REZ,"POLYGON ((151.155395734376 -30.8376554264569,151.251450285242 -31.0167727333294,151.377094249562 -31.1485447197961,151.512466691354 -31.2025114000407,151.691197013761 -31.2296719340184,151.939816414168 -31.2058446776018,152.018725132261 -31.0534998111892,152.057799233706 -30.8947202433826,152.390766490218 -30.8093716627371,152.447538631522 -30.657392274724,152.486714537471 -30.4526676075789,152.234646836057 -30.1158903811899,152.236624090039 -29.909374692891,152.380774881997 -29.7039692843011,152.465072627775 -29.5474616450475,152.414494476476 -29.3634915894962,152.211796751231 -29.2889872133437,152.011669017047 -29.2994991295671,151.79203737297 -29.300312526904,151.58486898772 -29.3309254211491,151.459939059187 -29.5576951834558,151.290177201297 -29.7484891380999,151.074560429372 -29.9845319791154,151.058215684974 -30.2655128490752,151.082075329992 -30.5365887046556,151.155395734376 -30.8376554264569))"
N3 Central-West Orana,REZ,"POLYGON ((148.253637088578 -32.3662288589637,148.578154663463 -32.6818260609999,148.708099855041 -32.7424318211759,148.786732063555 -32.7966853867271,148.877600120243 -32.8413887011719,148.879809882662 -32.8377192019849,149.015853471829 -33.0963521979763,149.127108189815 -33.1082692672853,149.160443075421 -33.028113005135,149.263271132952 -33.0092715219134,149.381759978139 -32.9647013036001,149.613881332867 -32.8378616561969,149.817508760923 -32.6575485738205,149.837665312674 -32.5312115028492,149.833855853592 -32.5057459404731,149.82175204662 -32.5007219446513,149.813155078793 -32.4947601820981,149.814268712533 -32.475372015687,149.835408412438 -32.4677528104107,149.85620168388 -32.4546581584652,149.869959470995 -32.3958383949604,149.869012312302 -32.3394277746325,149.872816210822 -32.3256806239923,149.805385937662 -32.2789370139892,149.801946012585 -32.2764790324955,149.801009034329 -32.2717361261012,149.800506885478 -32.2674428995714,149.802228865178 -32.2559228406275,149.803720816185 -32.2491991131131,149.805162863761 -32.2434374496892,149.805316123488 -32.2405360112715,149.801325588891 -32.2023158714359,149.81712568452 -32.1894547127439,149.841695669485 -32.1682015686376,149.892738559035 -32.1725875130421,149.943198800947 -32.1878158993569,150.001334527542 -32.124150134672,150.041531194108 -31.9802925680331,150.01804375563 -31.8538926788937,149.935357853358 -31.7914024609384,149.933407891231 -31.7069825321737,149.865654623138 -31.6714491718738,149.834188179648 -31.6433457017611,149.706957490106 -31.6115430489616,149.560539847551 -31.542341509669,149.306439220781 -31.4522490846329,149.149035163637 -31.39785472443,149.114843525015 -31.376844279947,149.078747713027 -31.379818434781,149.041777195408 -31.3927797516883,149.027803160456 -31.3987235755299,149.020004967938 -31.4009583636702,149.002774197904 -31.4093127365299,148.973721507936 -31.4120463105042,148.955914795601 -31.3982190701579,148.931430715761 -31.4024759094673,148.918834523048 -31.4057339793746,148.914018759876 -31.408073593184,148.902916334213 -31.4127232606933,148.89804874528 -31.4203660144011,148.879501953107 -31.4261228523718,148.849051673883 -31.4692805235134,148.774666976984 -31.5572572151708,148.658194992944 -31.6932256281865,148.496147168112 -31.6702410408489,148.381325186465 -31.6875554925803,148.323643402417 -31.7875636844192,148.267270404186 -31.8217046803171,148.229217867094 -31.9566511528921,148.244581536813 -32.2759175046872,148.253637088578 -32.3662288589637))"
N4 Broken Hill,REZ,"POLYGON ((140.853518462125 -31.3812163857391,140.789176171443 -31.4573035246662,140.675678728327 -31.6101605825468,140.563928179898 -31.8310380328643,140.506492037281 -32.0255514881252,140.476815262276 -32.229705794871,140.482892095461 -32.3807696309701,140.521198019393 -32.5461735416575,140.572717651652 -32.6652337239307,140.664898199127 -32.7897556352409,140.772719970568 -32.885326113651,140.926899351191 -32.9646221360551,141.029211814356 -32.9938565104647,141.175754766184 -33.0081913122387,141.334291227795 -32.9885204013917,141.540552391597 -32.9303946471797,141.717465255382 -32.8358544494791,141.894962704534 -32.7042072660125,142.03923395365 -32.5603491544918,142.222212823174 -32.2991739819762,142.303317999709 -32.1343767197725,142.36920980173 -31.9169868339412,142.374647683703 -31.639715800217,142.317425806362 -31.3931513788652,142.188047639024 -31.1872082369743,142.011123064556 -31.0645794757136,141.827546421829 -31.0011428720768,141.622130319818 -30.9935411874723,141.367679488794 -31.0375387714231,141.154324039075 -31.1377409008477,140.922984144836 -31.3165191748263,140.853518462125 -31.3812163857391))"
N5 South West NSW,REZ,"POLYGON ((145.398229474743 -35.263362831942,145.436165343666 -35.2659902902205,145.463545973101 -35.2807659223948,145.488113660071 -35.2790436732396,145.509715954054 -35.2696173318673,145.5286879508 -35.2252312380591,145.580574665926 -35.2277055306298,145.608186840171 -35.214315882476,145.614118643021 -35.1892885872465,145.686222680332 -35.1498406676802,145.712491048367 -35.1540908200097,145.749190788921 -35.1480211446547,145.767560865087 -35.107531506567,145.785273894437 -35.093263946987,145.795793405331 -35.0477807976125,145.825307676609 -35.0449210191427,145.853286182413 -35.0419413839049,145.856999804797 -35.0138606666715,145.851731425811 -34.9864390298367,145.774821860471 -34.9763048803037,145.740776187794 -34.9231502880823,145.697313876264 -34.8558002873005,145.694864341188 -34.7808030034564,145.712648022078 -34.7251151952107,145.729193510296 -34.7007308313627,145.744934474569 -34.6689794255979,145.762399953273 -34.6324483276712,145.811047398526 -34.5926922923692,145.809364048249 -34.5668172896496,145.756007826394 -34.5317098152925,145.594376826958 -34.3773168030056,145.456030088586 -34.3247544245191,145.260683353248 -34.3052198106007,145.027274811595 -34.2938472762786,144.748481368136 -34.2611499156205,144.671717920402 -34.2476755524723,144.575745179211 -34.2461283171396,144.497001697227 -34.2466154331563,144.402305443794 -34.2363585260402,144.255258351042 -34.2453712755078,143.694117992502 -34.2147518897673,143.232245801185 -34.1785205472909,143.209374753442 -34.2461946108681,143.161109033943 -34.238335117579,143.173439833477 -34.1573956203045,142.942735821412 -34.1206984799857,142.863292814134 -34.1100107446413,142.51278900731 -34.0588623593666,142.447478475547 -34.0117082904611,142.392346774293 -33.9828186352244,142.364077326423 -33.9807692269902,142.299385200287 -34.0005362789542,142.287206402102 -34.0114524255919,142.228271513455 -34.0285962461012,141.943872598127 -34.0161364496493,142.032656444028 -34.0708520902004,142.197060455243 -34.1003492032707,142.189378185142 -34.1611038991249,142.217819530007 -34.1791989236962,142.238889874667 -34.2323245681765,142.244969295395 -34.2840308318035,142.236184815412 -34.3062176007795,142.276129967119 -34.3219399663281,142.316931289247 -34.3314729054312,142.341490107763 -34.3334928453973,142.371361558063 -34.3353738632597,142.370243254361 -34.3626478297199,142.365671631613 -34.3829793874844,142.369100040154 -34.418053706702,142.37036656082 -34.4523115143454,142.375929193336 -34.4873440289921,142.386694056393 -34.5187370184359,142.423693466462 -34.566185427143,142.447533422319 -34.603429422401,142.473774699125 -34.646795293972,142.497369834573 -34.6761519666315,142.508851581267 -34.696828123598,142.511946681754 -34.7213533995478,142.532034383701 -34.7427912591042,142.571340245782 -34.7628453149949,142.597309189337 -34.7700595602961,142.638072184624 -34.7724726584094,142.659076197438 -34.7367315644089,142.665369276675 -34.7075528195321,142.680377538684 -34.6825259661916,142.693098924602 -34.6540464380615,142.70271946835 -34.6282889325286,142.71679500049 -34.6067990377844,142.734244142454 -34.5896055044326,142.768873404464 -34.5745536626647,142.791618538252 -34.5563143704749,142.806490695251 -34.5796253650599,142.822371461157 -34.6011466536469,142.844748741835 -34.624237945274,142.871511373398 -34.6489598224592,142.900170258328 -34.6674714605419,142.938802336505 -34.6689696255545,142.974797082556 -34.6828555992313,143.020176346299 -34.689419429452,143.064348646127 -34.6924847578579,143.11277034635 -34.6936462442253,143.156276861935 -34.7088202020931,143.213915524318 -34.728955696597,143.263492192805 -34.7590061204625,143.302035054769 -34.7814882127383,143.329354301577 -34.7929022204533,143.353344944918 -34.8017832451884,143.37803840985 -34.8247090170785,143.389524723837 -34.8365801240658,143.484391233523 -34.8828871564046,143.753118711823 -34.9685110132832,144.200415167748 -35.0565314991723,144.530924125426 -35.1217174952938,144.788469275009 -35.2057731536372,144.952342710241 -35.2541377485435,145.209807042602 -35.2769441273993,145.343219153793 -35.2862288015459,145.398229474743 -35.263362831942))"
N6 Wagga Wagga,REZ,"POLYGON ((147.536404479257 -34.9165349630569,147.502822192167 -34.8957265984653,147.476547280859 -34.8720579972808,147.448077676204 -34.8574223716768,147.4341044216 -34.8532013279207,147.423459600904 -34.8525400763054,147.409866858187 -34.8370624469661,147.373806516358 -34.8227000110343,147.293957198584 -34.7942803922963,147.179837263425 -34.7768595699559,147.005469561153 -34.7298357274979,146.825789854339 -34.7211982446444,146.627013128429 -34.7193951632941,146.403463297135 -34.8334890116743,146.288906233597 -35.0233541080203,146.257148410826 -35.2325561832224,146.319817532115 -35.3743231699144,146.510449578704 -35.4792356369506,146.754640623731 -35.5528989482429,147.004943805999 -35.5938582722393,147.232663242224 -35.5873012511904,147.451101643619 -35.5615277018915,147.581674906735 -35.5171420338462,147.619070051399 -35.4452135317075,147.64680764946 -35.3672498881335,147.671211112651 -35.2905171452665,147.672157017682 -35.2325904240043,147.664818547033 -35.1750773750294,147.665361878595 -35.1609490209603,147.662337637805 -35.1495588853095,147.653090915816 -35.1210250802534,147.65342880434 -35.1125452241939,147.640383127773 -35.0924088760383,147.637377577486 -35.0810155171507,147.634032990357 -35.0781010994454,147.624341444813 -35.0608785449202,147.618110991261 -35.0437445963302,147.611654864196 -35.0322627791966,147.581214137787 -34.9629673788686,147.536404479257 -34.9165349630569))"
N7 Tumut,REZ,"POLYGON ((148.387780928637 -34.9419676739724,148.285901916122 -34.9916911651256,148.192185931392 -35.062511814603,148.093305993056 -35.1884966751545,148.030341400658 -35.3103867536407,148.001087561495 -35.415452938463,147.977281108755 -35.5904728641442,147.966121007134 -35.7326248644991,147.980922642183 -35.8703090915214,148.021370037201 -36.0304581141126,148.111465243145 -36.19362102734,148.16969235581 -36.2712188505729,148.258400979427 -36.3520133722242,148.348460956538 -36.4016440792359,148.434357511202 -36.4323556367954,148.481417852525 -36.4398888460609,148.593372787194 -36.4358918969248,148.695398148323 -36.4073989201294,148.791586032333 -36.356612536498,148.89275833369 -36.2700792865235,148.967251782713 -36.1614094396193,149.04102654918 -36.004689706372,149.080262314873 -35.843608671601,149.096087664533 -35.6734972369875,149.079383424257 -35.5290460671237,149.055732980844 -35.4198366245156,149.012747265517 -35.2885526014297,148.950307685583 -35.1724560611418,148.885270428717 -35.0916403713897,148.779627814149 -34.9988717061206,148.686247897754 -34.9479608963817,148.638120101037 -34.9348161097625,148.575536912015 -34.9243748935139,148.47117099415 -34.9210906618359,148.387780928637 -34.9419676739724))"
N8 Cooma-Monaro,REZ,"POLYGON ((149.292436280963 -35.923427694683,149.245978753 -35.9408487492716,149.182915107862 -35.975299142003,149.131990172039 -36.0348793944288,149.104873048627 -36.1173371436725,149.085521773235 -36.2006979583907,149.084458683138 -36.288027266076,149.097553149853 -36.3646523459096,149.149361161877 -36.4860203967016,149.197829787973 -36.5621890796101,149.251164559425 -36.6141018274912,149.293733700029 -36.6482615419331,149.367686400897 -36.6767342809131,149.436131340184 -36.6905232870756,149.525258603216 -36.6903095377033,149.591638375337 -36.670401204776,149.649586599568 -36.628513176237,149.695327714779 -36.5720855509611,149.730070411656 -36.4969128712008,149.746160334375 -36.4094328011233,149.738237684691 -36.3013172035085,149.708555721425 -36.2071821716983,149.678175597303 -36.135088578593,149.622921478877 -36.0538484734143,149.565726184029 -35.9978250643806,149.510255091303 -35.9585709833794,149.452489589071 -35.9319499518028,149.391155783217 -35.9201004366174,149.332616755278 -35.9176687419933,149.292436280963 -35.923427694683))"
V1 Ovens Murray,REZ,"POLYGON ((147.163793012879 -36.2681970310605,146.994660398845 -36.3092241805896,146.770219624101 -36.4084949928082,146.612554154426 -36.5117530858619,146.43066486224 -36.619073563739,146.22758578844 -36.7513949384875,146.108293579092 -36.8279768851814,146.042872685451 -36.866584204955,145.952471465315 -36.9260573524013,145.877086304698 -36.9929603582897,145.81940775804 -37.0719293883086,145.785888550856 -37.146330772204,145.765202351282 -37.204318104361,145.746311212308 -37.2292468825587,145.762302452 -37.2626903016261,145.789040831121 -37.3003412393254,145.825045223659 -37.3357999772055,145.876807838143 -37.3640029949378,145.930801009067 -37.3778897951017,145.989275630968 -37.3917232703161,146.067932907577 -37.401799458136,146.173415287311 -37.4026827614356,146.303374124867 -37.3961457166731,146.475396190338 -37.3659301958854,146.686910523473 -37.3137869434697,146.842113408297 -37.258589864871,146.994702638418 -37.1997759791018,147.181865198624 -37.1083878095095,147.430078386664 -36.9856563774125,147.602241922638 -36.862029344735,147.76696123516 -36.7204808146834,147.86975134665 -36.5940622085089,147.932257942974 -36.4865158952595,147.946976170611 -36.4240718318355,147.948656765221 -36.3772664103336,147.940103392702 -36.3338750739568,147.918841394452 -36.2907480020248,147.875354099549 -36.2480851470275,147.821966006869 -36.2177915355642,147.748164352646 -36.193654500756,147.683499984348 -36.1814678696147,147.593626212786 -36.1748356983911,147.475399217976 -36.1756541226774,147.338078197702 -36.2069103404101,147.163793012879 -36.2681970310605))"
V2 Murray River,REZ,"POLYGON ((142.373670004495 -34.4964409478867,142.362625867223 -34.3800058443004,142.374219303534 -34.3343936480086,142.305927340191 -34.3319678133728,142.235191923374 -34.3089359631608,142.241653375999 -34.2579360040602,142.218914086786 -34.1827966742133,142.159609510731 -34.1524958239108,142.056659526027 -34.1561898956328,142.031181084956 -34.1884112625577,142.020882562516 -34.227164722812,142.014289847609 -34.2768367160456,142.012086101726 -34.309882839285,142.009172496138 -34.3223178997523,142.009360304093 -34.3278131453694,142.014641102175 -34.3379244095088,142.012361211024 -34.3423361413854,142.010749706332 -34.3476444563285,142.008484358503 -34.3564978129209,142.000123847745 -34.3907756690666,141.990859757839 -34.4290813616721,141.986059849812 -34.4578984035308,141.989728114109 -34.4876864545948,142.001128402281 -34.5412714596518,142.020686594477 -34.6070864103911,142.048744789718 -34.6800390080092,142.159412163919 -34.9057812171725,142.280570766919 -35.1232588561159,142.440173265914 -35.3552381981364,142.693669853229 -35.6293238850327,142.869660378735 -35.8055546775073,143.006975564614 -35.9114199106459,143.160345543153 -36.0256789878316,143.339562651603 -36.1548717092504,143.883834065301 -36.5253423849807,144.126615308831 -36.6239051822338,144.319195378518 -36.6222229725789,144.424829871235 -36.5494333203521,144.405722594323 -36.3941618052145,144.370058300148 -36.2499078148618,144.314782705014 -36.114510148771,144.256044335476 -35.976100444841,144.201554396786 -35.820869573215,144.160730494309 -35.7135979175074,144.131389344293 -35.6514023625043,144.078598232655 -35.6022004400764,143.900974214156 -35.5075578872556,143.700435221733 -35.4117186940486,143.653837987098 -35.3896795049516,143.623610518008 -35.3762365912278,143.579719043394 -35.3476557402687,143.563557851253 -35.3301298225038,143.491192345773 -35.2768832873233,143.398426110704 -35.1910012312896,143.348490573104 -35.0992683641946,143.32395700166 -34.9421953014109,143.271551961399 -34.8202338117622,143.238969976125 -34.785819988771,143.192386896033 -34.7506953319425,143.117040871267 -34.7003790592859,142.99371321861 -34.6864646413873,142.942707713498 -34.667391151351,142.892519645511 -34.6661295560935,142.862834138271 -34.6367901460486,142.847409376882 -34.627629323693,142.815759382196 -34.5901063175793,142.794192470407 -34.5536636571532,142.756929430947 -34.5794444975135,142.707935059082 -34.6041682260008,142.693033908403 -34.6471417271845,142.66879521922 -34.7068481944152,142.637955198713 -34.7694885641067,142.592879774097 -34.770721774799,142.55577275718 -34.7621096905342,142.50919809658 -34.7249107544061,142.49720948859 -34.6744347970466,142.373670004495 -34.4964409478867))"
V3 Western Victoria,REZ,"POLYGON ((142.797438240077 -36.4279092550637,142.581334869449 -36.3005804915629,142.372579074175 -36.1851416054777,142.175449616086 -36.0933819344501,141.963288693765 -36.0005528918825,141.827715022573 -35.9568808537521,141.747686136517 -35.9369046447981,141.65595513293 -35.920777090634,141.5996968333 -35.9132374485879,141.539225239223 -35.9123251090387,141.483544344144 -35.9149430399243,141.433685783894 -35.9225600597195,141.382666178666 -35.9369956795527,141.334292627866 -35.9590150338161,141.294235562314 -35.9838257000782,141.256178069759 -36.0137056578205,141.220040232809 -36.0499083421277,141.192146556727 -36.090173876022,141.180058557149 -36.1247764735234,141.180210717868 -36.1754953387162,141.201583652287 -36.2351541565088,141.252502120479 -36.3147412974368,141.335321893863 -36.413944163614,141.421161147669 -36.4939294901183,141.531975231999 -36.5909897070327,141.673679446081 -36.7008553273391,141.912672395514 -36.8657764713116,142.210540857499 -37.0463278644653,142.470535313042 -37.1848576668301,142.789286323542 -37.3387380657231,143.067107540035 -37.4594416717709,143.443218447311 -37.592040941716,143.443163390235 -37.593883481307,143.68065131576 -37.655215986413,143.801505008119 -37.6781296735782,143.908799285949 -37.6906434971147,144.017212295453 -37.6899575505975,144.070941751042 -37.6792828347794,144.105879393684 -37.6683283858212,144.138055498095 -37.6504605424094,144.154238089557 -37.6363753606746,144.167503868712 -37.6233938030971,144.173680556602 -37.6023091926892,144.172797253949 -37.5719848976075,144.166098939291 -37.5438797933099,144.145964303986 -37.5018898972554,144.14600950375 -37.4996040650673,144.107369038552 -37.434915568467,144.037237669855 -37.3521385020371,143.944594177608 -37.2656698468631,143.834177643556 -37.1630363984059,143.707093991882 -37.0623335313381,143.530399705364 -36.9242466725209,143.369340356972 -36.8053007544304,143.076836867104 -36.6050122178869,142.797438240077 -36.4279092550637))"
V4 South West Victoria,REZ,"POLYGON ((142.483723358444 -37.7664523798123,142.093109854048 -37.7858753781946,141.705202724032 -37.8019927702027,141.389776978032 -37.8346792504687,141.117899335204 -37.8677000652998,141.006894865283 -37.9176635315456,140.995615506219 -37.9935248024012,141.058173030159 -38.0761079541953,141.134634134817 -38.1235268081575,141.228809791344 -38.1742782023468,141.326944935499 -38.2517771671592,141.400879145746 -38.3312493392694,141.352156778561 -38.3772235778155,141.520200006288 -38.4371150933083,141.656501770289 -38.3890784857687,141.605901153417 -38.3151559735319,141.623687769349 -38.3013717323571,141.629018395435 -38.2967325887769,141.634481388872 -38.2936789833734,141.647454609771 -38.2892039580897,141.656766266595 -38.2862379880003,141.665979890826 -38.2816312597861,141.673521148482 -38.2802173004264,141.682775346832 -38.2755856665094,141.688321144066 -38.2724717253494,141.697884300627 -38.2726923900498,141.705370722741 -38.2696247342199,141.714879994446 -38.2682470605699,141.726320322285 -38.2669225258894,141.733854216287 -38.2638510452586,141.739549836073 -38.2623647967171,141.749165256052 -38.2626237715181,141.758779703583 -38.2628825483941,141.772238661912 -38.2632439515289,141.776083699026 -38.2633469476236,141.783821076582 -38.2651915198257,141.795347377827 -38.2654955981073,141.804988579144 -38.267385117974,141.81650621528 -38.267684950022,141.828022513466 -38.2679826826884,141.837618037721 -38.2682297554299,141.841456060217 -38.2683280374295,141.852994963537 -38.271890687618,141.862586780412 -38.2737664724703,141.874080104121 -38.274056313034,141.879824640929 -38.2774570220301,141.895124232902 -38.279476289849,141.900837469696 -38.2828631968323,141.906538651141 -38.286240747311,141.917966819413 -38.288140540938,141.925547866034 -38.2915661137257,141.936917176021 -38.2950621914818,141.940659690728 -38.2983676189051,141.95012800272 -38.3002119989138,141.959544496102 -38.3036444060436,141.970836694304 -38.3071080719219,141.976474131696 -38.3088402215948,141.991516224552 -38.3123928116275,141.998964406648 -38.3157557810492,142.010106589825 -38.3208076358173,142.019399704704 -38.3242113855729,142.028749049237 -38.3260225469235,142.036049596909 -38.3309117775502,142.043411743606 -38.3342083331033,142.052551003213 -38.3390983132362,142.059968482386 -38.340820740819,142.068968709447 -38.3472542132837,142.076160895603 -38.3520815884433,142.085197330032 -38.3569344045426,142.094313880282 -38.3602287580203,142.105161784103 -38.3650950210719,142.114235853743 -38.3683682745511,142.121554127888 -38.3700619088737,142.130721587343 -38.3717967211461,142.14160866417 -38.3750903365356,142.150620027864 -38.3783367515787,142.159612902126 -38.3815771010644,142.168730244829 -38.383292706624,142.179540759775 -38.3865604634103,142.188634908453 -38.3882679577811,142.195870953422 -38.3899374887209,142.203102729572 -38.3915992523416,142.213855364163 -38.3948406212438,142.221067422323 -38.3964964668989,142.230287227622 -38.3966832468468,142.241173278242 -38.3984109245041,142.248545514938 -38.3985587888137,142.249271823095 -38.3925302864197,142.249789446891 -38.3727368465506,142.261318471209 -38.3698959276135,142.26709254249 -38.3684710715788,142.278656659525 -38.3656177860413,142.286714546304 -38.3611449265906,142.294385373731 -38.3597462970576,142.302273853233 -38.3567993928019,142.315356716059 -38.35705074554,142.324701671178 -38.3572294148457,142.332177863805 -38.3573715420368,142.339652156894 -38.3575154778309,142.351086389943 -38.3561968861336,142.356691158822 -38.356308219342,142.36978098169 -38.3565524381784,142.379115559086 -38.3567431049509,142.386582599811 -38.3568952556745,142.39755162445 -38.358640882419,142.400781312887 -38.3617884182755,142.409342088927 -38.3665667822861,142.414669504035 -38.3682069962706,142.419715721689 -38.3713877295894,142.428217493561 -38.3761417034251,142.436679066461 -38.380894916984,142.440116922066 -38.3824828424595,142.450398856441 -38.3872468514664,142.459663587579 -38.387410716554,142.467778734638 -38.3936232977415,142.474305028551 -38.3982748097002,142.479551417571 -38.3998769582375,143.110262843565 -38.2808122580089,143.356175110532 -38.2463793790927,143.527866147048 -38.2264066788253,143.688035431797 -38.1967445980596,143.89903216331 -38.1421483226718,144.054336487863 -38.0655370592677,144.132904618104 -37.97844482295,144.139624918784 -37.9367852019911,144.116696927357 -37.9017156313148,144.078869571701 -37.8757339946835,144.002997967994 -37.8399763243386,143.798549993314 -37.7943127317847,143.628271857681 -37.7787062530675,143.393922773306 -37.7745630996722,143.075730087894 -37.7522334207563,142.752017529808 -37.7573995011251,142.483723358444 -37.7664523798123))"
V5 Gippsland,REZ,"POLYGON ((147.520832201858 -37.7900361529111,147.361757848748 -37.7901922028551,147.248439459628 -37.8043754245581,147.118122427731 -37.8379479749364,147.018097007718 -37.8704065864125,146.826182597252 -37.9559116337659,146.672951297363 -38.0263714864921,146.578420430741 -38.0930133090926,146.522493558942 -38.1348828438467,146.461257746588 -38.2466281543883,146.484317631261 -38.3304498983119,146.539535050253 -38.4104090786604,146.664223966273 -38.4918072421303,146.75448878571 -38.517284787086,146.838059046733 -38.5314575175314,146.910238739669 -38.5275146403815,146.941911655522 -38.520495025426,146.96142054685 -38.5110922260365,146.978926135317 -38.5037337653659,146.989202368463 -38.4953083399531,147.020580557473 -38.475794680803,147.06222732887 -38.4499508672542,147.114429453018 -38.4126326514331,147.157836307848 -38.37911240943,147.191409854967 -38.3482378662435,147.241106533077 -38.304392501972,147.278329315616 -38.2715023027881,147.325891505753 -38.2278542066306,147.387481213747 -38.1714261826721,147.43545627357 -38.1308894488797,147.511442191947 -38.0438250325466,147.571750461343 -37.9847402865861,147.601120634043 -37.9467800721039,147.61981660804 -37.9088561188666,147.609955023275 -37.8704732363035,147.573089157539 -37.8077653652674,147.520832201858 -37.7900361529111))"
V6 Central North Vic,REZ,"POLYGON ((146.073015926524 -36.4381362791864,146.012080364691 -36.327134856164,145.837036014921 -36.2469487498747,145.626697833805 -36.2136132692028,145.426294660248 -36.2221474909035,145.238489252007 -36.2600808804224,145.077126811163 -36.2844962404269,144.978375103315 -36.3244699704979,144.829752168528 -36.379747817418,144.729138858981 -36.4367128739105,144.629083890421 -36.4857215160644,144.540393659259 -36.5513459505639,144.512955413488 -36.6348105737379,144.541859162121 -36.7078285560261,144.649125713715 -36.7754942819205,144.801545641613 -36.7701013166886,144.958960746169 -36.7552740127718,145.155908781331 -36.7432055980155,145.407859098879 -36.7104571347066,145.642643368136 -36.6779606490763,145.835941378891 -36.6196200608665,145.987937295549 -36.5843765744392,146.073015926524 -36.4381362791864))"
S1 South East SA,REZ,"POLYGON ((139.548322680379 -35.1481525165371,139.534464999812 -35.1485721646686,139.492879292965 -35.1498218828208,139.458208472835 -35.15085303792,139.423524165853 -35.1518742347304,139.389699104124 -35.164081931157,139.377956701423 -35.1924526999108,139.365778907488 -35.2152277086732,139.354878212521 -35.2547763339598,139.350494925188 -35.2885226794412,139.345218767943 -35.3110701493935,139.34690560788 -35.3334137067075,139.341204747914 -35.3503710383569,139.329796424885 -35.3842828325909,139.319221627325 -35.4293558154868,139.307374880282 -35.4576753693052,139.310319280158 -35.4967424034459,139.311572293079 -35.5134788344801,139.316103781549 -35.5748014288855,139.318165108537 -35.6026669179472,139.320227651847 -35.6305266113116,139.323116531888 -35.6695219302559,139.328074216243 -35.736345162598,139.331362189743 -35.7808700352444,139.334233912243 -35.8198160586063,139.337899859624 -35.8698660305699,139.552201119527 -36.0805064760675,139.746011557321 -36.3926824139383,139.854926303541 -36.6754822899602,139.857681047254 -36.7817727045219,139.822563208929 -36.8675076890703,139.682844403449 -36.9504976462146,139.739908794481 -37.0743323175948,139.79093005583 -37.1269518592061,139.732559750423 -37.17180964132,140.00771508686 -37.4949998252477,140.03627837384 -37.4753746970014,140.127667725836 -37.5410358281906,140.126238740558 -37.5631553403861,140.106359404438 -37.5665031060797,140.266824358715 -37.7108393314683,140.376974072065 -37.8953730491644,140.407158218988 -37.9230654124395,140.478621265722 -37.9514527483386,140.537413456949 -38.0003082312446,140.56607169446 -38.0043542938411,140.637268425952 -37.9922560078974,140.697095803825 -37.9647243353294,140.743908296701 -37.9008717915969,140.845513018234 -37.8354578626247,140.912120969138 -37.6607262467151,140.92456897894 -37.5117506508626,140.909266239 -37.2774917840434,140.908469774051 -37.1100157092451,140.896736876576 -36.9715853737474,140.887935971403 -36.7613245406476,140.848396384309 -36.5374386856411,140.810165854034 -36.3700125446261,140.794095632261 -36.3432026219797,140.783528312903 -36.299559339449,140.767922019634 -36.2782285978573,140.759204573152 -36.256563590743,140.735356720785 -36.2190490218608,140.719291985189 -36.1921898485694,140.695423888895 -36.154633217186,140.672500985015 -36.1280747090974,140.655098708836 -36.0846686850895,140.623387681286 -36.0363274719244,140.5990951271 -35.9931773084724,140.574819877671 -35.9500060376395,140.536361691849 -35.9019085176711,140.526773839115 -35.8691160269858,140.502914688187 -35.8313656453887,140.473101306447 -35.8049356221213,140.449236357931 -35.7671331488958,140.418515341498 -35.7296033411453,140.380018891762 -35.6812709715989,140.326436607486 -35.616857717886,140.296227761933 -35.5847630819417,140.280672100176 -35.5631673209571,140.256854323943 -35.525196762709,140.22703726617 -35.4985465163407,140.211411209086 -35.4768737514351,140.188907863276 -35.4554584893954,140.166871443577 -35.4395865495712,140.129685173993 -35.4075544151049,140.114074427163 -35.3858370588494,140.092045697408 -35.3699299515001,140.069558792852 -35.3484503364927,140.047075180534 -35.3269586886308,140.017711332415 -35.3057058539887,139.989260438489 -35.2955731712418,139.939237486643 -35.2750309116059,139.918116454326 -35.2701942962613,139.867132432338 -35.2384311747736,139.845090847202 -35.2224152034022,139.801909226929 -35.2015139581275,139.766070000726 -35.185934617598,139.723767287159 -35.1761467770428,139.703053839546 -35.1768279405562,139.647795234961 -35.1786274908797,139.613241958194 -35.1797395873112,139.592503601018 -35.1804026553029,139.557904434958 -35.1814875328222,139.516748059206 -35.1883384206056,139.475134472378 -35.1895889643796,139.462124024106 -35.2011824408262,139.420910620737 -35.2080082523729,139.379672594227 -35.2148231755688,139.548322680379 -35.1481525165371))"
